match_id,character,opponent_character,result,kos,falls,sds,match_time,damage_given,damage_taken,gsp,match_time_seconds,damage_differential,damage_ratio,ko_differential,damage_per_minute,damage_taken_per_minute,gsp_change,match_intensity
46,captain falcon,ridley,1,3,2,0,3:55,119,315,15346882,235,-196,0.37777777777777777,1,30.382978723404257,80.42553191489363,180226.0,0.02127659574468085
47,captain falcon,ness,1,3,2,0,5:43,346,448,15489404,343,-102,0.7723214285714286,1,60.52478134110787,78.36734693877551,142522.0,0.014577259475218658
48,captain falcon,pit,0,2,3,0,5:23,381,346,15329921,323,35,1.1011560693641618,-1,70.77399380804953,64.27244582043343,-159483.0,0.015479876160990712
49,captain falcon,sora,1,3,2,0,5:15,310,389,15489404,315,-79,0.7969151670951157,1,59.04761904761905,74.0952380952381,159483.0,0.015873015873015872
50,captain falcon,little mac,0,2,3,0,4:45,217,382,15346882,285,-165,0.5680628272251309,-1,45.68421052631579,80.42105263157895,-142522.0,0.017543859649122806
51,captain falcon,kazuya,1,3,2,0,6:22,445,478,15518681,382,-33,0.9309623430962343,1,69.89528795811519,75.07853403141361,171799.0,0.013089005235602094
52,lucas,donkey kong,1,3,1,0,4:34,371,244,12116342,274,127,1.5204918032786885,2,81.24087591240877,53.43065693430657,0.0,0.014598540145985401
53,lucas,ganondorf,1,3,1,0,3:00,171,129,12552074,180,42,1.3255813953488371,2,57.0,43.0,435732.0,0.022222222222222223
54,lucas,mario,0,1,3,0,3:58,175,319,12161664,238,-144,0.54858934169279,-2,44.11764705882353,80.42016806722688,-390410.0,0.01680672268907563
55,lucas,captain falcon,1,2,1,0,3:45,261,238,12552812,225,23,1.096638655462185,1,69.6,63.46666666666667,391148.0,0.013333333333333334
56,lucas,snake,0,2,3,0,5:35,325,442,12161664,335,-117,0.7352941176470589,-1,58.2089552238806,79.16417910447761,-391148.0,0.014925373134328358
57,lucas,ganondorf,1,3,2,0,3:56,311,125,12552812,236,186,2.488,1,79.0677966101695,31.779661016949156,391148.0,0.0211864406779661
58,lucas,megaman,0,1,3,0,4:18,187,373,12161664,258,-186,0.5013404825737265,-2,43.48837209302326,86.74418604651163,-391148.0,0.015503875968992248
59,lucas,dark samus,1,3,2,0,5:08,392,284,12552812,308,108,1.380281690140845,1,76.36363636363636,55.32467532467532,391148.0,0.016233766233766232
60,lucas,pit,0,2,3,0,4:40,260,324,12117050,280,-64,0.8024691358024691,-1,55.71428571428571,69.42857142857143,-435762.0,0.017857142857142856
61,lucas,ness,1,3,2,0,3:55,187,246,12510302,235,-59,0.7601626016260162,1,47.74468085106383,62.808510638297875,393252.0,0.02127659574468085
62,lucas,greninja,1,3,0,0,2:08,129,49,12883893,128,80,2.63265306122449,3,60.46875,22.96875,373591.0,0.0234375
63,lucas,mii brawler,1,3,1,0,3:49,286,176,13236438,229,110,1.625,2,74.93449781659388,46.11353711790393,352545.0,0.017467248908296942
64,lucas,little mac,0,0,3,0,3:08,90,287,12883893,188,-197,0.313588850174216,-3,28.72340425531915,91.59574468085107,-352545.0,0.015957446808510637
65,lucas,donkey kong,0,1,3,0,4:05,214,302,12467550,245,-88,0.7086092715231788,-2,52.40816326530613,73.9591836734694,-416343.0,0.0163265306122449
